Title,Alternative Title,Creator,Contributor,Creation Date,Date,Search by Decade,Description,Subject (tgm),Subject Topical,Subject Name,Subject Geographic,Title Note,DCMI Type,Caption,Contributor Note,Notes,Original Form,Resource Type,Geographic Location,Language Code,Language,Physical Description of Original,Medium of Original,Collection in Repository,Digital Collection,N.C. Ed. Standard,URL,Local Identifier,Creator Identifier,filename,Copyright,Usage Rights,Raw Scan Filename,Date created,Date modified
System of breast-heights for defence by light artillery and infantry suggested as an improvement on cremailleres,,"Gilmer, Jeremy Francis, 1818-1883.","Liernur, Charles T.",1864-05-24,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Drawings of a system of breast-heights for defence by light artillery and infantry, suggested as an improvement on cremailleres, with extensive notes (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Liernur, Charles T.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Drawings designed by Charles T. Liernur.,,Maps,Still Image,"United States, North Carolina",eng,English,"16-5/8"" H x 28-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/252,Gilmer Map Number 327,276_252_E.tif,Public Domain,,276_252.tif,2005-12-08,2015-09-14
Mansfield,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-04-08,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Mansfield, Louisiana, drawn under the direction of Captain R. M. Venable (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,"Paper is discolored and torn, and information is missing.",Maps,Still Image,"United States, Louisiana",eng,English,"7-7/8"" H x 12-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/201,Gilmer Map Number 189,276_201_E.tif,Public Domain,,276_201.tif,2005-12-08,2015-09-14
Approaches to Camden,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-05-17,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of approaches to Camden, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Arkansas",eng,English,"17-5/8"" H x 21-3/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/200,Gilmer Map Number 185,276_200_E.tif,Public Domain,,276_200.tif,2005-12-08,2015-09-14
Redoubt B,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Redoubt B (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is discolored and stained over part of title.,Maps,Still Image,"United States, Alabama",eng,English,"19-1/2"" H x 25-7/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/181,Gilmer Map Number 6,276_181_E.tif,Public Domain,,276_181.tif,2005-12-08,2015-09-14
Plan of fortification around Weldon,,"Gilmer, Jeremy Francis, 1818-1883.",,1863-03-12,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the plan of fortification around Weldon (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along fold.,Maps,Still Image,"United States, North Carolina",eng,English,"23-7/8"" H x 27-7/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/224,Gilmer Map Number 302,276_224_E.tif,Public Domain,,276_224.tif,2005-12-08,2015-09-14
Area between Roanoke River (Weldon) and Tar River including and northwest of Rocky Mount,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the area between the Roanoke River (Weldon) and the Tar River, including and northwest of Rocky Mount (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,Paper is faded and torn around edges.,Maps,Still Image,"United States, North Carolina",eng,English,"16-1/4"" H x 18-1/2"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/232,Gilmer Map Number 308C,276_232_E.tif,Public Domain,,276_232.tif,2005-12-08,2015-09-14
"Map of Confederate Point, New Hanover Co., N.C.",,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Confederate Point, New Hanover County, N.C., made under the direction of Captain W. H. James from the surveys of B. L. Blackford (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along edges.,Maps,Still Image,"United States, North Carolina",eng,English,"12-3/4"" H x 28-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/236,Gilmer Map Number 311,276_236_E.tif,Public Domain,,276_236.tif,2005-12-08,2015-09-14
Obstruction between Pelican Island and the main land,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-12-24,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A sketch of an obstruction between Pelican Island and the mainland (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Texas",eng,English,"9-3/4"" H x 17-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/191,Gilmer Map Number 144A,276_191_E.tif,Public Domain,,276_191.tif,2005-12-08,2015-09-14
Sawyer obstructions in Cape Fear River,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863-05-01,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A drawing of Sawyer obstructions in the Cape Fear River, prepared under the direction of Captain W. H. James by L. C. Turner (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Drawing prepared by L. C. Turner.,,Maps,Still Image,"United States, North Carolina",eng,English,"17-3/8"" H x 20-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/250,Gilmer Map Number 325,276_250_E.tif,Public Domain,,276_250.tif,2005-12-08,2015-09-14
Fort Caswell,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863-04,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Fort Caswell, prepared under the direction of Captain W. H. James by L. C. Turner (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was prepared by L. C. Turner.,,Maps,Still Image,"United States, North Carolina",eng,English,"20-1/4"" H x 30"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/247,Gilmer Map Number 322,276_247_E.tif,Public Domain,,276_247.tif,2005-12-08,2015-09-14
Part 1: plan of the defensive works at Halifax N.C.,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Part 1 of a map of the plan of the defensive works at Halifax, N.C. (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"14"" H x 22"" W; see part 2 for scale.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/226A,Gilmer Map Number 304,276_226a_E.tif,Public Domain,,276_226a.tif,2005-12-08,2015-09-14
"Plan of magazine being constructed at Wilmington, N.C.",,"Gilmer, Jeremy Francis, 1818-1883.",,1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Drawings of the plans of a magazine being constructed in Wilmington, N.C. (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"16-5/8"" H x 22-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/246,Gilmer Map Number 321,276_246_E.tif,Public Domain,,276_246.tif,2005-12-08,2015-09-14
"Map of parts of Brunswick and New Hanover Counties showing the approaches to Wilmington, N.C.",,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis)",1864-06,June 1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of parts of Brunswick and New Hanover Counties showing the approaches to Wilmington, N.C., made under the direction of Captain W. H. James by B. L. Blackford (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by B. L. Blackford.,Fabric is stained.,Maps,Still Image,"United States, North Carolina",eng,English,"31-3/4"" H x 39"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/251,Gilmer Map Number 326,276_251_E.tif,Public Domain,,276_251.tif,2005-12-08,2015-09-14
"Part 2: plan of the defensive works at Halifax, N.C.",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Part 2 of a map of a plan of the defensive works at Halifax, N.C. (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"14"" H x 22"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/226B,Gilmer Map Number 304,276_226b_E.tif,Public Domain,,276_226b.tif,2005-12-08,2015-09-14
"Plan of the two gun battery at Fulton, Arkansas",,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A plan of the two gun battery at Fulton, Arkansas, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Arkansas",eng,English,"10-3/4"" H x 17-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/197,Gilmer Map Number 181A,276_197_E.tif,Public Domain,,276_197.tif,2005-12-08,2015-09-14
Map of a part of Brunswick County,,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis)",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a part of Brunswick County, made under the direction of Captain W. H. James by B. L. Blackford (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by B. L. Blackford.,Fabric is soiled.,Maps,Still Image,"United States, North Carolina",eng,English,"27-1/4"" H x 31-3/8"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/244,Gilmer Map Number 319,276_244_E.tif,Public Domain,,276_244.tif,2005-12-08,2015-09-14
"Fort and adjoining fortifications, with note",,"Gilmer, Jeremy Francis, 1818-1883.",,1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of a fort and adjoining fortifications with a note describing  in further detail areas within the map (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied  by repository.,Image,,,Paper is torn along right and left edges.,Maps,Still Image,"United States, North Carolina",eng,English,"19-1/2"" H x 29-3/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/245B,Gilmer Map Number 320B,276_245b_E.tif,Public Domain,,276_245b.tif,2005-12-08,2015-09-14
"Environs of Dooley's Ferry, Ark.",,"Gilmer, Jeremy Francis, 1818-1883.","Miller, M. A.",1864-05-20,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the environs of Dooley's Ferry, Arkansas, drawn under the direction of Captain R. M. Venable, Chief of the Topographical Bureau of western Louisiana and Arkansas, by M. A. Miller, Assistant Engineer (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Miller, M. A.","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by M. A. Miller.,"Paper is torn throughout, and information is missing.",Maps,Still Image,"United States, Arkansas",eng,English,"19-1/4"" H x 24"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/195,Gilmer Map Number 179,276_195_E.tif,Public Domain,,276_195.tif,2005-12-08,2015-09-14
"Red River obstruction at Shreveport, La.",,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A sketch of the Red River obstruction at Shreveport, Louisiana, including a plan,  a detail of the elevation, a longitudinal section of 50 feet, and a transverse section (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Louisiana",eng,English,"12-7/8"" H x 15-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/205,Gilmer Map Number 198B,276_205_E.tif,Public Domain,,276_205.tif,2005-12-08,2015-09-14
Raleigh-Goldsboro-Rocky Mount area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the Raleigh-Goldsboro-Rocky Mount area (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,Paper is faded and torn along edges.,Maps,Still Image,"United States, North Carolina",eng,English,"16-3/8"" H x 18-1/2"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/233,Gilmer Map Number 308D,276_233_E.tif,Public Domain,,276_233.tif,2005-12-08,2015-09-14
Redoubt H,,"Gilmer, Jeremy Francis, 1818-1883.","Fitz, Newton.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Redoubt H drawn under the direction of Lieutenant Colonel V. Sheliha, Chief Engineer, Department of the Gulf (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Fitz, Newton.; Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Bastionettes for ditch defence were added by Newton Fitz.,Fabric is  discolored and stained.,Maps,Still Image,"United States, Alabama",eng,English,"23-3/4"" H x 34-1/4"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/184,Gilmer Map Number 9,276_184_E.tif,Public Domain,,276_184.tif,2005-12-08,2015-09-14
Copy 1: map of a part of eastern North Carolina from a map in progress compiled from surveys and reconnaissances,,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a part of eastern North Carolina, made from a map in progress compiled from surveys and reconnaissances, made under the direction of Captain A. H. Campbell.",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"30-5/8"" H x 37"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/253A,Gilmer Map Number 328A,276_253a_E.tif,Public Domain,,276_253a.tif,2005-12-08,2015-09-14
Letter C: proposed casemates at Fort Point and channel markings for the Gulf of Mexico in that area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of proposed casemates at Fort Point and channel markings for the Gulf of Mexico in that area (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Texas",eng,English,"21-3/8"" H x 33-1/2"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/192,Gilmer Map Number 144B,276_192_E.tif,Public Domain,,276_192.tif,2005-12-08,2015-09-14
Bentonville area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the Bentonville area (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,Paper is faded and torn around edges.,Maps,Still Image,"United States, North Carolina",eng,English,"16-3/8"" H x 20-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/230,Gilmer Map Number 308A,276_230_E.tif,Public Domain,,276_230.tif,2005-12-08,2015-09-14
Goldsboro-Wilson-Smithfield area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the Goldsboro-Wilson-Smithfield area (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"16"" H x 17-3/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/229,Gilmer Map Number 307,276_229_E.tif,Public Domain,,276_229.tif,2005-12-08,2015-09-14
Part 1: topographical map showing the fortifications and roads in the vicinity of the Cape Fear,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Part 1 of a two-part topographical map of the fortifications and roads in the vicinity of the Cape Fear River, prepared under the direction of Captain W. H. James by L. C. Turner (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,Map was prepared by L. C. Turner.,,Maps,Still Image,"United States, North Carolina",eng,English,"21-5/8"" H x 25-3/4"" W; scale on part 2 of map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/237A,Gilmer Map Number 312,276_237a_E.tif,Public Domain,,276_237.tif,2005-12-08,2015-09-14
Chart of the obstructions in the Cape Fear and Brunswick Rivers and the batteries commanding them,,"Gilmer, Jeremy Francis, 1818-1883.",,1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map charting obstructions in the Cape Fear and Brunswick Rivers and the batteries commanding them, prepared under the direction of Captain W. H. James (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"14-3/8"" H x 19-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/249,Gilmer Map Number 324,276_249_E.tif,Public Domain,,276_249.tif,2005-12-08,2015-09-14
Skeleton map of Lieut. Koerner's topographical survey between Neuse and Tar Rivers,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Lieutenant Koerner's topographical survey between the Neuse and Tar Rivers (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"14-1/2"" H x 18-1/2"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/228,Gilmer Map Number 306,276_228_E.tif,Public Domain,,276_228.tif,2005-12-08,2015-09-14
Map of Mobile Bay and surrounding area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Mobile Bay and surrounding area, including waterways, and showing channel markings for 6' and landmarks with notations (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Alabama",eng,English,"21"" H x 29-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/178,Gilmer Map Number 3,276_178_E.tif,Public Domain,,276_178.tif,2005-12-08,2015-09-14
Redoubt,,"Gilmer, Jeremy Francis, 1818-1883.","Liernur, Charles T.",1863-12-02,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a redoubt for defence of a ditch a chemin-du-ronde with bastionettes under cover of counterscarp, designed by Charles T. Liernur (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Liernur, Charles T.","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map designed by Charles T. Liernur.,,Maps,Still Image,"United States, Alabama",eng,English,"20"" H x 29-7/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/179,Gilmer Map Number 4,276_179_E.tif,Public Domain,,276_179.tif,2005-12-08,2015-09-14
Mobile defences,Sketch to accompany progress report,"Gilmer, Jeremy Francis, 1818-1883.",,1863-03-15,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Mobile defences, including a sketch to accompany the progress report dated 15 March 1863 (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Fabric is discolored.,Maps,Still Image,"United States, Alabama",eng,English,"16-3/4"" H x 27-1/2"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/177,Gilmer Map Number 2,276_177_E.tif,Public Domain,,276_177.tif,2005-12-08,2015-09-14
Map of Spanish fort and vicinity,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Spanish fort and vicinity, drawn under the direction of Lieutenant Colonel V. Sheliha (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Fabric is discolored.,Maps,Still Image,"United States, Alabama",eng,English,"24-5/8"" H x 35-1/2"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/176,Gilmer Map Number 1,276_176_E.tif,Public Domain,,276_176.tif,2005-12-08,2015-09-14
Citadel and proposed gallery,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Sketches of a citadel, with a proposed gallery and after bombardment (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Alabama",eng,English,"7-1/2"" H x 19-1/2"" W",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/180,Gilmer Map Number 5,276_180_E.tif,Public Domain,,276_180.tif,2005-12-08,2015-09-14
