Title	Description	Transcription	Contributor Note	Notes	Subject (tgm)	Subject Name	Subject Geographic	Subject Topical	Creator	Finding Aid	Collection in Repository	Collection Number	Location in Collection	Object	Container type	filename	Alternative Title	Contributor	Creation Date	Date	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Usage Rights	Copyright Holder	Additional Display	Caption	Title Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	Date created	Date modified
Night Protestors	A pro-Yushchenko supporter is smiling as he is holding up a fishing-pole which he is using to hold up a flag, a common practice during the revolution. He is also wearing orange ribbons and an orange head band to demonstrate his support for the presidential candidate Viktor Yushchenko. Behind him are other protestors who came out to Maidan to support the revolution.				Ribbons; Flagpoles; Headbands (Headgear); Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 046	digfolder	60001_df0007_046.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06428.JPG					2014-07-31	2014-12-03
Communication among protestors	Two older women are engaged in a lively conversation on Maidan. They are both wearing colorful floral print head-scarves as well as one of them is wearing a warm Russian style hat due to the cold weather outside. Stationed in the background are a variety of different tents.				Headscarves; Hats; Scarves; Older people;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 091	digfolder	60001_df0007_091.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (3).tif					2014-07-31	2014-12-03
Musical performance	A couple of Yushchenko supporters putting on a musical performance, accompanied by a violin and a tambourine. A man is holding up a Ukrainian flag on a fishing pole, this was very common during the revolution.				Headscarves; Flags; Tambourines; Violins; Singing; Crowds; Headbands (Headgear); Scarves;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0008: Central Independence Square events: Celebrations, November-December 2004: Digital image 10	digfolder	60001_df0008_10.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06427.JPG					2014-07-31	2014-11-18
Polish supporters at Maĭdan Nezalez︠h︡nosti	Polish supporters (young, mostly students) from all areas of Poland, quite well informed politically.				Flags; Men; Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 155	digfolder	60001_df0001_155.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (3).tif					2014-07-31	2015-03-27
Sting on Maidan jumbotron	British rock musician Sting appears on nighttime Maidan stage via jumbotron. Ukrainian flags and orange flags in support of Yushchenko wave in the air above the crowd.				Activists; Flags; Protests; Political parades & rallies; Crowds; Ribbons; Televisions; Communication; Communication devices; Musicians;	Sting (Musician)	Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0002: Central Independence Square events: Speakers, November-December 2004: Digital image 08	digfolder	60001_df0002_008.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00014 (2).tif					2014-07-31	2016-01-21
Busy Maĭdan Nezalez︠h︡nosti	Maĭdan Nezalez︠h︡nosti filled with protestors, signs, posters, and flags. A woman in the middle of the crowd is videotaping the events occurring at Maidan that day. The posters hanging off the bridge are all pro-Yushchenko and names of different cities in Ukraine are written on them followed by the Yushchenko symbol and the word "yes".				Flags; Posters; Signs (Notices); Ribbons; Crowds; Columns;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 168	digfolder	60001_df0001_168.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00022 (4).tif					2014-07-31	2015-03-27
Orange store fronts	Owners of stores, like this one, near or in the Independence Square, decorated their store fronts orange to show that they support Viktor Yushchenko.				Storefronts; Flowers; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 057	digfolder	60001_df0001_057.tif			2004	2 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06302.jpg					2014-07-31	2015-04-10
Lady Liberty	A little girl, held up by her father, is raising her hand up into the sky. Her position is symbolizing Lady Liberty of Ukraine. The girl is wearing an orange Yushchenko cape, a colorful blue winter hat and a white fluffy jacket to keep her warm during a cold night out at the Maidan.				Capes (Clothing); Night photographs; Children;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 077	digfolder	60001_df0007_077.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00023 (3).tif					2014-07-31	2014-12-03
Protestors taking a break from Maidan activities.	Group of protestors standing out at Maĭdan Nezalez︠h︡nosti.  During the times when there were no speakers and demonstrations, protestors took their time to converse with one another and text or call their families.				Balloons (Novelties); Fur coats;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 094	digfolder	60001_df0001_094.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06393.JPG					2014-07-31	2015-04-10
Soup kitchen on Khreshchatyk	Protesters standing near the soup kitchen located in the middle of Khreshchatyk street, the main street in Kiev.		Bujak’s comment: "Soup kitchen on Khreshchatik."		Activists; Revolutionaries; Revolutions; Women; Young adults; Hats; Coats; Kitchens; Headbands (Headgear); Headscarves; Soups; Cooking utensils;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0005: Central Independence Square events: Living Conditions, November-December 2004: Digital image 54	digfolder	60001_df0005_054.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (5).tif					2014-07-31	2015-03-27
Cossack style tents	A couple of protestors are standing in front of a series of tents with roofs that symbolize the Ukrainian Cossacks.				Tents; Roofs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 076	digfolder	60001_df0001_076.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06358.JPG					2014-07-31	2015-03-27
Support from other Ukrainian cities	Protestors are standing in front of a big orange flag with writing all over it. The writing consists of protestors from other Ukrainian cities who came out to support Yushchenko at Maĭdan Nezalez︠h︡nosti writing to inform Kiev that their city or town supports Yushchenko as well. They do this by writing the name of their city or town followed by the word "TAK" or "YES."	Some writing on the flag reads:Тернопіль ТАК! Одеса ТАК! Броди ТАК! Кадубівці ТАК!			Flags; Stickers; Capes (Clothing); Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 038	digfolder	60001_df0007_038.tif			2004	3 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06352.JPG					2014-07-31	2014-12-03
National Anthem Singing	Protestors are engaged in singing the Ukrainian national anthem.				Singing; Crowds;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 191	digfolder	60001_df0001_191.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00021.tif					2014-07-31	2015-03-27
Protestors in front of tent city	A man is standing in front of tent city holding a religious news paper in his hands. The women in the bottom left is enjoying a warm beverage on this cold Ukrainian day.	White poster reads : Погребице - Вінниця   Yellow poster reads : Так! Ліщинці			Newspapers; Tents; Posters; Flags;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 021	digfolder	60001_df0001_021.tif			2004	29 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06136.JPG					2014-07-31	2015-03-27
Waving Flag	An orange flag waves over tent city on a cold, snowy day at Maidan. A man in the background is wearing a Yushchenko "TAK" poster as a cape. There is a snow covered, orange stuffed animal on top of one of the tents.				Posters; Tents; Flags; Toys;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0008: Central Independence Square events: Celebrations, November-December 2004: Digital image 03	digfolder	60001_df0008_03.tif			2004	29 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06144.JPG					2014-07-31	2014-11-18
Ribbons on cars	A Yushchenko supporter hung up a ribbon on his car to demonstrate his support. Many people who were not able to physically go out and participate in the Maidan activities decorated their vehicles.				Vehicles; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 051	digfolder	60001_df0007_051.tif			2004	8 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06541.JPG					2014-07-31	2014-12-03
Signs and banners in the tent city on Khreshchatyk	Posters and banners announcing support for Yushchenko from various cities across Ukraine are displayed along the barricades of the tent city on Khreshchatyk. One of the protesters, in a yellow jacket, yellow gloves, and a fur cap with ear flaps is resting his arms on the barricades, with a cigarette hanging out of his mouth. Another protester to the right has a big pro-Yushchenko sticker on his jacket. There is snow on the tents behind them.	Posters and banners read (from left to right): "Нова Одеса Так!" (New Odesa Yes!), "Нова Одеса за Ющенко" (Nova Odesa for Yushchenko), "Первомайщина за Ющенка!" (Pervomaisk region for Yushchenko), and "Первомайськ Миколаївська обл. Так! За Ющенка" (Pervomaisk, Mikolaivsk oblast' Yes! For Yushchenko.)			Posters; Banners; Signs (Notices); Tents; Flags; Political parades & rallies; Activists; Protests; Snow; Streets; Smoking;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Khreshchatyk (Kiev, Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 016	digfolder	60001_df0001_016.tif			2004	29 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06129.JPG					2014-07-31	2015-11-20
Father saying goodbye to children	Saying goodbye to his children, the father is preparing to go out on Maidan and defend his country by protesting.				Children; Fathers;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 071	digfolder	60001_df0001_071.tif			2004	3 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06349.JPG					2014-07-31	2015-03-27
Yanukovych Caricature	In front of a giant orange banner, a woman is talking on the phone and behind her a man is holding up a caricature of Viktor Yanukovych, Viktor Yushchenko's opponent in the election. The sash reads: Big, stupid thing...	Sash reads: Великий, тупий предмет...			Banners; Caricatures;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0008: Central Independence Square events: Celebrations, November-December 2004: Digital image 11	digfolder	60001_df0008_11.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00035.tif					2014-07-31	2014-11-18
Yanukovych supporters on Suvorov Street	A group of Yanukovych supporters are gathered on the sidewalk outside of of the Pechersk District Administration at 15 Suvorov Street. They are holding blue and Yanukovych flags. An SUV (a Nissan Patrol) with orange Yushchenko flags and orange Yushchenko sticker on the continental tire has pulled over. Several are in the street having a discussion, including a bearded man in a yellow baseball hat and an orange scarf. Several people are holding signs obscured by the angle of the camera.	Yanukovych supporters' flags read: "За Януковича! Вибiр 2004".			Demonstrations; Protest movements; Activists; Flags; Signs (Notices); Sport utility vehicles; Hats; Government facilities; Trees; Snow;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 159	digfolder	60001_df0001_159.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00038.tif					2014-07-31	2015-03-27
Women in the revolution	Smiling woman looking at other participants of the revolution. The sign on the woman's headband reads "Tak! Yushchenko".				Activists; Revolutionaries; Women; Headbands (Headgear);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 01	digfolder	60001_df0009_01.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06013.JPG					2014-07-31	2014-12-03
Gérard Depardieu on Maidan jumbotron	French actor Gérard Depardieu appears on nighttime Maidan stage via jumbotron. Ukrainian flags, orange flags and banners in support of Yushchenko wave in the air above the crowd.				Activists; Flags; Protests; Political parades & rallies; Crowds; Ribbons; Televisions; Communication; Communication devices; Actors; Stages (Platforms); Banners;	Depardieu, Gérard, 1948-	Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0002: Central Independence Square events: Speakers, November-December 2004: Digital image 11	digfolder	60001_df0002_011.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00009 (2).tif					2014-07-31	2016-01-21
							Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0002: Central Independence Square events: Speakers, November-December 2004: Digital image 23	digfolder	60001_df0002_023.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00010.tif					2014-07-31	2014-11-14
Police marching to Maidan	Photo taken from private apartment. View of police in the early days of the revolution.				Police; Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 192	digfolder	60001_df0001_192.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00028.tif					2014-07-31	2015-03-27
Protesters	Protesters from Stetsevo, a small village in the west of Ukraine, holding a sign in support of Yushchenko's party. The sign reads: "Stetsevo supports Yushchenko's "Tak!" party".	Sign reads: "Стецево Так! за Так! Ющенка".			Activists; Revolutionaries; Revolutions; Men; Hats; Coats; Signs (Notices); Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0005: Central Independence Square events: Living Conditions, November-December 2004: Digital image 49	digfolder	60001_df0005_049.tif			2004	30 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06258.JPG					2014-07-31	2015-03-27
Yanukovych Caricature	In front of a large orange banner a man is showing a peace sign with one hand and using his other hand to hold up a caricature of Viktor Yanukovych, Viktor Yushchenko's opponent in the election. The sash reads: "Big, stupid thing... "				Banners; Caricatures; Night photographs; Peace signs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 144	digfolder	60001_df0001_144.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00036.tif					2014-07-31	2015-03-27
							Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0005: Central Independence Square events: Living Conditions, November-December 2004: Digital image 52	digfolder	60001_df0005_052.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00005 (4).tif					2014-07-31	2014-11-14
Protesters talking	Two protesters talking to each other, one of the protesters wearing an orange ribbon in support of Yushchenko's "Tak!" party.				Activists; Ribbons; Crowds; Men; Women; Older people; Hats; Coats;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 12	digfolder	60001_df0003_012.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/																												DSC05924.JPG					2014-07-31	2014-12-03
Child enjoying Maĭdan Nezalez︠h︡nosti	A child is enjoying her time at Maidan while sitting on someone's shoulders. She is wearing a warm purple jacket along with orange ribbons. She is also holding up an orange fox stuffed animal.				Stuffed animals (Toys); Children; Night photographs; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 097	digfolder	60001_df0001_097.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06406.JPG					2014-07-31	2015-03-27
Young Yushchenko supporters	A group of young girls assembled orange plastic fringes to wear during the protests at Maidan.				Flags; Ribbons; Women; Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 041	digfolder	60001_df0007_041.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06389.JPG					2014-07-31	2014-12-03
